科目番号,科目名,,単位数,,,,,,,,,,,,,,,
01MB159,グローバル研究演習IIb,,1.0,,,,,,,,,,,,,,,
01MB253,情報メディア特別演習(情報学)a,,2.0,,,,,,,,,,,,,,,
01MB254,情報メディア特別演習(情報学)b,,2.0,,,,,,,,,,,,,,,
01MB255,情報メディア特別演習(情報学)a,,2.0,,,,,,,,,,,,,,,
01MB256,情報メディア特別演習(情報学)b,,2.0,,,,,,,,,,,,,,,
01MB353,情報メディア特別演習(図書館情報学)a,,2.0,,,,,,,,,,,,,,,
01MB354,情報メディア特別演習(図書館情報学)b,,2.0,,,,,,,,,,,,,,,
01MB355,情報メディア特別演習(図書館情報学)a,,2.0,,,,,,,,,,,,,,,
01MB356,情報メディア特別演習(図書館情報学)b,,2.0,,,,,,,,,,,,,,,
01MB455,Synthetic Seminar on MSc Research a,,2.0,,,,,,,,,,,,,,,
01MB456,Synthetic Seminar on MSc Research b,,2.0,,,,,,,,,,,,,,,
01MB457,Synthetic Seminar on MSc Research a,,2.0,,,,,,,,,,,,,,,
01MB458,Synthetic Seminar on MSc Research b,,2.0,,,,,,,,,,,,,,,
01MB50A,デジタルコンテンツ論I,,1.0,,,,,,,,,,,,,,,
01MB50B,デジタルコンテンツ論II,,2.0,,,,,,,,,,,,,,,
01MB52A,図書館サービス論I,,1.0,,,,,,,,,,,,,,,
01MB554,文献講読I,,2.0,,,,,,,,,,,,,,,
01MB555,文献講読II,,2.0,,,,,,,,,,,,,,,
01MB557,特別演習a,,2.0,,,,,,,,,,,,,,,
01MB558,特別演習b,,2.0,,,,,,,,,,,,,,,
01MB559,特別演習a,,2.0,,,,,,,,,,,,,,,
01MB560,特別演習b,,2.0,,,,,,,,,,,,,,,
01MBA01,知識と情報の世界,,2.0,,,,,,,,,,,,,,,
01MBA02,システム思考,,2.0,,,,,,,,,,,,,,,
01MBA03,インターネットと法,,2.0,,,,,,,,,,,,,,,
01MBA04,知的財産の管理と利用,,2.0,,,,,,,,,,,,,,,
01MBA05,図書館とメディアの歴史,,2.0,,,,,,,,,,,,,,,
01MBA06,情報探索と検索,,2.0,,,,,,,,,,,,,,,
01MBA07,情報行動論,,2.0,,,,,,,,,,,,,,,
01MBA09,要求分析とプロジェクト管理,,2.0,,,,,,,,,,,,,,,
01MBA51,情報メディア演習B,,2.0,,,,,,,,,,,,,,,
01MBA53,情報メディア演習C,,2.0,,,,,,,,,,,,,,,
01MBB01,問題記述と形式化,,2.0,,,,,,,,,,,,,,,
01MBB02,自然言語処理,,2.0,,,,,,,,,,,,,,,
01MBB03,データ工学特論,,2.0,,,,,,,,,,,,,,,
01MBB05,セマンティックウェブ,,2.0,,,,,,,,,,,,,,,
01MBB06,インフォメトリクス,,2.0,,,,,,,,,,,,,,,
01MBB07,コンテンツ制作論,,2.0,,,,,,,,,,,,,,,
01MBB08,音声・音響メディア処理,,2.0,,,,,,,,,,,,,,,
01MBB09,画像・映像メディア処理,,2.0,,,,,,,,,,,,,,,
01MBB10,認知科学特論,,2.0,,,,,,,,,,,,,,,
01MBB11,ヒューマンコンピュータ・インタラクション,,2.0,,,,,,,,,,,,,,,
01MBB12,情報デザイン,,2.0,,,,,,,,,,,,,,,
01MBB19,アルゴリズム特論,,2.0,,,,,,,,,,,,,,,
01MBB20,データサイエンス概論,,2.0,,,,,,,,,,,,,,,
01MBB21,映像メディア特論,,2.0,,,,,,,,,,,,,,,
01MBB51,情報メディア演習A (情報学),,2.0,,,,,,,,,,,,,,,
01MBC01,テキスト解析,,2.0,,,,,,,,,,,,,,,
01MBC02,デジタルドキュメント,,2.0,,,,,,,,,,,,,,,
01MBC03,デジタルライブラリ,,2.0,,,,,,,,,,,,,,,
01MBC04,デジタルアーカイビング,,2.0,,,,,,,,,,,,,,,
01MBC05,ドキュメント管理,,2.0,,,,,,,,,,,,,,,
01MBC06,情報メディア組織化,,2.0,,,,,,,,,,,,,,,
01MBC07,メタデータ,,2.0,,,,,,,,,,,,,,,
01MBC11,図書館経営論,,2.0,,,,,,,,,,,,,,,
01MBC12,メディア教育,,2.0,,,,,,,,,,,,,,,
01MBC13,学校図書館経営,,2.0,,,,,,,,,,,,,,,
01MBC14,教育政策と情報専門職,,2.0,,,,,,,,,,,,,,,
01MBC15,学術情報基盤論,,2.0,,,,,,,,,,,,,,,
01MBC16,学習環境の構築,,2.0,,,,,,,,,,,,,,,
01MBC17,資料と文化,,2.0,,,,,,,,,,,,,,,
01MBC18,古文献・書誌論,,2.0,,,,,,,,,,,,,,,
01MBC51,情報メディア演習A(図書館情報学),,2.0,,,,,,,,,,,,,,,
01MBD51,Practical Seminar A,,2.0,,,,,,,,,,,,,,,
01MBD52,Practical Seminar B,,2.0,,,,,,,,,,,,,,,
01MBE02,学術コミュニケーション論,,2.0,,,,,,,,,,,,,,,
01MBE03,デジタルライブラリ,,2.0,,,,,,,,,,,,,,,
01MBE11,情報分析,,2.0,,,,,,,,,,,,,,,
01MBE12,情報活用,,2.0,,,,,,,,,,,,,,,
01MBE13,情報表現法,,2.0,,,,,,,,,,,,,,,
01MBE21,学校図書館経営,,2.0,,,,,,,,,,,,,,,
01MBE32,ドキュメント管理,,2.0,,,,,,,,,,,,,,,
01MBE44,ライブラリー・ガバナンス論,,2.0,,,,,,,,,,,,,,,
01MBE52,研究の手引き,,2.0,,,,,,,,,,,,,,,
01MBE53,調査分析法,,2.0,,,,,,,,,,,,,,,
01NA002,憲法II〔統治〕,,2.0,,,,,,,,,,,,,,,
01NA003,行政法I,,2.0,,,,,,,,,,,,,,,
01NA004,行政法II,,2.0,,,,,,,,,,,,,,,
01NA005,民法I〔総則・物権総論〕,,2.0,,,,,,,,,,,,,,,
01NA006,民法II〔担保物権〕,,2.0,,,,,,,,,,,,,,,
01NA009,商法I〔企業組織法〕,,2.0,,,,,,,,,,,,,,,
01NA010,商法II〔企業法総論・企業活動法〕,,2.0,,,,,,,,,,,,,,,
01NA012,刑法I〔総論〕,,2.0,,,,,,,,,,,,,,,
01NA013,刑法II〔各論〕,,2.0,,,,,,,,,,,,,,,
01NA015,民法III〔債権総論〕,,2.0,,,,,,,,,,,,,,,
01NA017,民法V〔不法行為・不当利得法〕,,2.0,,,,,,,,,,,,,,,
01NA022,民法IV-1〔契約法〕,,2.0,,,,,,,,,,,,,,,
01NA023,民法IV-2〔契約法〕,,2.0,,,,,,,,,,,,,,,
01NA024,民事訴訟法I,,3.0,,,,,,,,,,,,,,,
01NA025,刑事訴訟法I,,3.0,,,,,,,,,,,,,,,
01NA027,民法VI〔家族法〕,,2.0,,,,,,,,,,,,,,,
01NA028,憲法I-A〔人権〕,,2.0,,,,,,,,,,,,,,,
01NA029,憲法I-B〔人権〕,,2.0,,,,,,,,,,,,,,,
01NA064,憲法III〔憲法訴訟〕,,2.0,,,,,,,,,,,,,,,
01NA065,行政法III-1,,1.0,,,,,,,,,,,,,,,
01NA066,行政法III-2,,1.0,,,,,,,,,,,,,,,
01NA067,民法VII,,2.0,,,,,,,,,,,,,,,
01NA068,商法III,,2.0,,,,,,,,,,,,,,,
01NA069,民事訴訟法II,,2.0,,,,,,,,,,,,,,,
01NA070,憲法総合演習,,1.0,,,,,,,,,,,,,,,
